store_id,survival_days,status,country,max_segment,creation_platform,products_created,admin_visits,source,seller_probability,tx,gmv_usd
3904376596904711548,193,0,C,B,A,0.1799755744031864,2.2950033997608315,D,-0.7445522418722326,-0.11077719784484988,-0.10646262373791036
-2299583059724940837,357,1,A,D,A,-0.10630783650526766,0.7935150285471034,H,1.4947052014602675,-0.09944917417543676,-0.1014851947381624
-7495116383729448292,163,1,C,C,A,-0.10913532698337586,-1.026470875954385,D,-0.7401889187168692,-0.11077719784484988,-0.10646262373791036
-7002196180303892217,522,0,A,D,A,-0.07379169600702351,0.7935150285471034,A,1.7425419566849092,-0.008824984820131714,0.08214200522315163
7040469642145405777,285,0,A,B,A,0.5927891842069819,2.4315023425984434,E,1.6007339541355985,-0.08812115050602362,-0.08879255311489719
-3117309080684263682,28,1,A,C,B,-0.03844806503067115,-0.25297686654125245,E,-0.7336439339838241,-0.09944917417543676,-0.09306428626360863
5738234844949737055,0,1,C,C,A,-0.111255944841957,-1.1174701711794597,D,-0.6817203884349995,-0.11077719784484988,-0.10646262373791036
-1678255968690619927,294,1,C,D,A,-0.029258720976819537,0.7935150285471034,D,-0.4875525080213279,-0.07679312683661049,-0.08121768896595588
-32987681008570144,573,0,C,B,A,-0.07873980434371282,0.5205171428718802,B,-0.6939376932700171,-0.11077719784484988,-0.10646262373791036
7439006535808139940,208,1,C,C,A,-0.09217038411472672,-0.8899719331167735,A,-0.7445522418722326,-0.11077719784484988,-0.10646262373791036
6635217765146748526,90,0,C,C,A,-0.09782536507094312,-0.16197757131617802,A,-0.6978646841098441,-0.11077719784484988,-0.10646262373791036
1756727781207814896,54,1,E,C,A,-0.11054907222242996,-0.5714743998290129,D,-0.736261927877042,-0.11077719784484988,-0.10646262373791036
-1216919395307379750,173,0,C,D,A,0.048497267171155635,1.2485115046724755,G,0.1281123892004487,0.002503038849281416,-0.02245121290022606
-842654114772680601,88,0,A,C,A,-0.10630783650526766,-1.2539691140170712,B,-0.7563332143917137,-0.11077719784484988,-0.10646262373791036
-3585053293308883045,287,0,A,C,A,-0.1020666007881054,-1.026470875954385,I,-0.5194047670554808,-0.11077719784484988,-0.10646262373791036
-2062254248336919135,153,1,C,C,B,-0.08863602101709149,1.2030118570599384,A,-0.573509974181987,-0.11077719784484988,-0.10646262373791036
-9175691175917019332,140,1,C,C,B,-0.10701470912479473,-1.1629698187919968,K,-0.7419342479790145,-0.11077719784484988,-0.10646262373791036
2445891028308059484,77,1,A,B,A,-0.08156729482182103,0.702515733322029,B,0.6844360915092829,-0.05413707949778423,-0.07623630648805083
1806896320369103980,16,1,A,C,A,-0.10913532698337586,-0.5259747522164757,B,-0.5935812606966586,-0.11077719784484988,-0.10646262373791036
6495963346080259445,86,0,A,B,A,-0.09994598292952424,0.11102031435904526,B,-0.6647034281290822,-0.09944917417543676,-0.0928705658339123
-5511124930092862538,165,1,A,B,A,-0.10065285554905128,-0.1164779237036408,A,-0.3588344749381073,-0.09944917417543676,-0.0993186887080894
-840763429716682110,167,0,A,C,A,-0.010173160249589266,0.47501749525934295,B,-0.6625217665514005,-0.11077719784484988,-0.10646262373791036
-3953803759313889482,101,0,A,B,A,0.6974063318969849,2.15850445692322,D,-0.7558968820761774,-0.07679312683661049,-0.10065298758609967
7481432786076349495,41,1,A,C,A,3.6457720279442976,1.2485115046724755,A,1.1639653062837214,-0.07679312683661049,0.08419386038666965
-1731305102519967002,572,0,A,A,A,-0.09782536507094312,1.8855065712479968,A,2.004341346006713,0.22906351223754398,0.08059421852465969
9159010113914830108,119,0,A,C,A,1.7259059933088383,0.7480153809345662,A,-0.7545878851295684,-0.11077719784484988,-0.10646262373791036
904830433704992202,641,0,A,C,A,-0.0843947852999292,1.4305100951226244,B,-0.6359054953036838,-0.11077719784484988,-0.10646262373791036
-8248062803489111761,48,0,C,C,A,-0.09004976625614558,-0.4349754569914013,E,-0.7572058790227865,-0.11077719784484988,-0.10646262373791036
-1488736385072655067,318,0,C,B,B,-0.06389547933364484,0.47501749525934295,A,-0.3509804932584534,-0.09944917417543676,-0.09713241528723107
-1976227156650709158,79,1,C,C,A,0.03153232430250651,1.0665129142223266,D,-0.6293605105706387,-0.11077719784484988,-0.10646262373791036
4578561118395276950,170,1,C,D,A,-0.016535013825332692,0.8845143237721779,A,1.7717762218258435,0.21773548856813085,0.2202567646403046
-4824454684385905986,32,1,C,C,B,-0.09146351149519967,-0.7079733426666246,F,-0.6677577543378367,-0.11077719784484988,-0.10646262373791036
-2612404525782401390,695,0,C,A,A,0.5574455532306295,1.931006218860534,I,1.4960141984068769,-0.07679312683661049,-0.05632066027182332
-6548210919666401814,115,0,C,C,B,-0.111255944841957,0.020021019133970832,C,-0.6428868123522652,-0.11077719784484988,-0.10646262373791036
-8306248613100959250,200,1,A,C,A,-0.10984219960290292,-1.2539691140170712,B,0.9008569200153078,-0.11077719784484988,-0.10646262373791036
6495158865089872039,342,1,A,B,A,-0.10418721864668652,-0.7534729902791618,D,-0.6943740255855534,-0.09944917417543676,-0.10598820635906228
2527723007987718013,382,1,C,C,A,-0.09217038411472672,-0.16197757131617802,E,-0.6773570652796359,-0.11077719784484988,-0.10646262373791036
